"TRANSACTIONS","DATE","USER"
"17","2020-10-02","v1fdila "
"10","2020-10-02","V2PDRW  "
"15","2020-10-02","XNARTVL "
"23050","2020-10-03","acaprims"
"2","2020-10-03","gcaprims"
"1","2020-10-03","gcatest1"
"18","2020-10-03","v1fdila "
"22929","2020-10-04","acaprims"
"2","2020-10-04","gcaprims"
"17","2020-10-04","v1fdila "
"21510","2020-10-05","acaprims"
"8","2020-10-05","cddauto "
"2","2020-10-05","ezlenpe "
"9","2020-10-05","fideagpr"
"2","2020-10-05","gcaprimd"
"2","2020-10-05","gcatest1"
"4","2020-10-05","gcnonprd"
"35","2020-10-05","v1fdila "
"12","2020-10-05","xnartvl "
"1","2020-10-05","xtomsta "
"21","2020-10-05","zjyosha "
"1","2020-10-05","zrvnsht "
"10","2020-10-05","V2PDRW  "
"4","2020-10-05","XBMSRHA "
"31","2020-10-05","XNARTVL "
"1","2020-10-06","acaprim "
"3317","2020-10-06","acaprims"
"1","2020-10-06","cddauto "
"8","2020-10-06","eitscpri"
"3","2020-10-06","fideagpr"
"2","2020-10-06","gcaprimd"
"4","2020-10-06","gcaprims"
"1","2020-10-06","gcatest1"
"264","2020-10-06","v1fdila "
"6","2020-10-06","v1fdilp "
"1","2020-10-06","xnartvl "
"2","2020-10-06","xnitsat "
"2","2020-10-06","zjyosha "
"2","2020-10-06","zrvnsht "
"10","2020-10-06","V2PDRW  "
"2","2020-10-06","XNARTVL "
"1","2020-10-06","XNITSAT "
"15062","2020-10-07","acaprims"
"10","2020-10-07","eitscpri"
"4","2020-10-07","erett   "
"6","2020-10-07","fideagpr"
"6","2020-10-07","gcaprimd"
"2","2020-10-07","gcaprims"
"3","2020-10-07","gcatest1"
"1","2020-10-07","gcnonprd"
"448","2020-10-07","v1fdila "
"1","2020-10-07","xnartvl "
"2","2020-10-07","xnitsat "
"3","2020-10-07","zjyosha "
"31","2020-10-07","zrvnsht "
"8","2020-10-07","V2PDRW  "
"35","2020-10-07","XNARTVL "
"3","2020-10-07","XNITSAT "
"23043","2020-10-08","acaprims"
"4","2020-10-08","cddauto "
"11","2020-10-08","eitscpri"
"1","2020-10-08","fideagpr"
"3","2020-10-08","gcnonprd"
"148","2020-10-08","v1fdila "
"378","2020-10-08","zjyosha "
"21","2020-10-08","zrvnsht "
"1","2020-10-08","PRPLMWS "
"10","2020-10-08","V2PDRW  "
"3","2020-10-08","XNARTVL "

